edicion,id_pelicula,tipo
2011-02-27,1,mejor_pelicula
2011-02-27,1,mejor_actor
2011-02-27,1,mejor_director
1973-03-27,2,mejor_pelicula
1973-03-27,2,mejor_actor
1973-03-27,2,mejor_director
2020-02-09,3,mejor_pelicula
2020-02-09,3,mejor_actor
2020-02-09,3,mejor_director
1995-03-27,4,mejor_pelicula
1995-03-27,4,mejor_actor
1995-03-27,4,mejor_director
2000-03-26,5,mejor_pelicula
2000-03-26,5,mejor_actor
2000-03-26,5,mejor_director
2020-02-09,6,mejor_pelicula
2020-02-09,6,mejor_actor
2020-02-09,6,mejor_director
2017-02-26,7,mejor_pelicula
2017-02-26,7,mejor_actor
2017-02-26,7,mejor_director
1995-03-27,8,mejor_pelicula
1995-03-27,8,mejor_actor
1995-03-27,8,mejor_director
2003-03-23,9,mejor_pelicula
2003-03-23,9,mejor_actor
2003-03-23,9,mejor_director
2000-03-26,10,mejor_pelicula
2000-03-26,10,mejor_actor
2000-03-26,10,mejor_director
2001-03-25,11,mejor_pelicula
2001-03-25,11,mejor_actor
2001-03-25,11,mejor_director
2009-02-22,12,mejor_pelicula
2009-02-22,12,mejor_actor
2009-02-22,12,mejor_director
1995-03-27,13,mejor_pelicula
1995-03-27,13,mejor_actor
1995-03-27,13,mejor_director
2010-03-07,14,mejor_pelicula
2010-03-07,14,mejor_actor
2010-03-07,14,mejor_director
2015-02-22,15,mejor_pelicula
2015-02-22,15,mejor_actor
2015-02-22,15,mejor_director
2014-02-02,16,mejor_pelicula
2014-02-02,16,mejor_actor
2014-02-02,16,mejor_director
2015-02-22,17,mejor_pelicula
2015-02-22,17,mejor_actor
2016-02-28,18,mejor_pelicula
2016-02-28,18,mejor_actor
2016-02-28,18,mejor_director
2019-02-24,19,mejor_pelicula
2019-02-24,19,mejor_actor
2019-02-24,19,mejor_director
2011-02-27,20,mejor_pelicula
2011-02-27,20,mejor_actor
2011-02-27,20,mejor_director
2017-02-26,21,mejor_pelicula
2017-02-26,21,mejor_actor
2017-02-26,21,mejor_director
2016-02-28,22,mejor_pelicula
2016-02-28,22,mejor_actor
2016-02-28,22,mejor_director
2014-02-02,23,mejor_pelicula
2014-02-02,23,mejor_actor
2014-02-02,23,mejor_director
2020-02-09,24,mejor_pelicula
2020-02-09,24,mejor_actor
2020-02-09,24,mejor_director
2002-02-24,25,mejor_pelicula
2002-02-24,25,mejor_actor
2002-02-24,25,mejor_director
2020-02-09,26,mejor_pelicula
2020-02-09,26,mejor_actor
2020-02-09,26,mejor_director
1996-03-25,27,mejor_pelicula
1996-03-25,27,mejor_actor
1996-03-25,27,mejor_director
2001-03-25,28,mejor_pelicula
2001-03-25,28,mejor_actor
2001-03-25,28,mejor_director
2002-02-24,29,mejor_pelicula
2002-02-24,29,mejor_actor
2002-02-24,29,mejor_director
1992-03-30,30,mejor_pelicula
1992-03-30,30,mejor_actor
1992-03-30,30,mejor_director
2014-02-02,31,mejor_pelicula
2014-02-02,31,mejor_actor
2014-02-02,31,mejor_director
2000-03-26,32,mejor_pelicula
2000-03-26,32,mejor_actor
2000-03-26,32,mejor_director
2000-03-26,33,mejor_pelicula
2000-03-26,33,mejor_actor
2000-03-26,33,mejor_director
1953-03-19,34,mejor_pelicula
1953-03-19,34,mejor_actor
1953-03-19,34,mejor_director
2010-03-07,35,mejor_pelicula
2010-03-07,35,mejor_actor
2010-03-07,35,mejor_director
2017-02-26,36,mejor_pelicula
2017-02-26,36,mejor_actor
2017-02-26,36,mejor_director
2018-03-04,37,mejor_pelicula
2018-03-04,37,mejor_actor
2018-03-04,37,mejor_director
2007-02-25,38,mejor_pelicula
2007-02-25,38,mejor_actor
2007-02-25,38,mejor_director
2013-02-24,39,mejor_pelicula
2013-02-24,39,mejor_actor
2013-02-24,39,mejor_director
2011-02-27,40,mejor_pelicula
2011-02-27,40,mejor_actor
2011-02-27,40,mejor_director
2014-02-02,41,mejor_pelicula
2014-02-02,41,mejor_actor
2014-02-02,41,mejor_director
2014-02-02,42,mejor_pelicula
2014-02-02,42,mejor_actor
2014-02-02,42,mejor_director
2012-02-26,43,mejor_pelicula
2012-02-26,43,mejor_actor
2012-02-26,43,mejor_director
1991-02-25,44,mejor_pelicula
1991-02-25,44,mejor_actor
1991-02-25,44,mejor_director
2007-02-25,45,mejor_pelicula
2007-02-25,45,mejor_actor
2007-02-25,45,mejor_director
2011-02-27,46,mejor_pelicula
2011-02-27,46,mejor_actor
2011-02-27,46,mejor_director
2002-02-24,47,mejor_pelicula
2002-02-24,47,mejor_actor
2002-02-24,47,mejor_director
2012-02-26,48,mejor_pelicula
2012-02-26,48,mejor_actor
2012-02-26,48,mejor_director
2016-02-28,49,mejor_pelicula
2016-02-28,49,mejor_actor
2016-02-28,49,mejor_director
2000-03-26,50,mejor_pelicula
2000-03-26,50,mejor_actor
2000-03-26,50,mejor_director
